"Stedtekst","Dato","Medie","Dybde","Målested, x-koordinat","Målested, y-koordinat","Parameter","Resultat-attribut","Resultat","Enhed","Kvalitetsmærke"
"Engelsholm Sø - vandkemi","24.05.2011 12.00.00 +02:00","Vandløb",3,520069,6174893,"Oxygenmætning"," =",90.1,"pct",2
"MEJLBYGÅRD SØ, Vandkemi","10.07.2006 12.00.00 +02:00","Vandløb",7,454650,6218044,"Oxygen indhold"," =",4.1,"mg/l",2
"VESTERBORG SØ, kemi","22.07.2013 12.00.00 +02:00","Vandløb",0.57,645924,6082133,"Oxygen indhold"," =",11.7,"mg/l",2
"BRYRUP LANGSØ,  BRY 1","22.07.2021 12.00.00 +02:00","Vandløb",6.6,532693.0269878072,6208261.961397567,"Oxygenmætning","",0,"pct",2
"Troels sø/001","02.06.2016 12.00.00 +02:00","Vandløb",2,595296,6130930,"Oxygen indhold"," =",9.51,"mg/l",3
"Østerå Sø - vandkemi","26.06.2014 12.00.00 +02:00","Vandløb",7,555818,6320159,"Oxygenmætning"," =",37.7,"pct",2
"VOMME SØ ST 2 AMT","23.06.2005 12.00.00 +02:00","Vandløb",4,603570,6133607,"Oxygen indhold"," =",3.2,"mg/l",2
"STENGÅRD SØ HOVED ST","14.06.2016 12.00.00 +02:00","Vandløb",2.04,652365,6058806,"Oxygenmætning"," =",89.82,"pct",3
"FUGLSANG SØ, Vandkemi","20.09.2021 12.00.00 +02:00","Vandløb",0.2,496819.0000026726,6223403.00359758,"Oxygen indhold"," =",9.2,"mg/l",2
"VÆNG SØ","12.09.1990 12.00.00 +02:00","Vandløb",1,540840,6210187,"Oxygen indhold"," =",12.2,"mg/l",2
"MARIBO SØNDERSØ, kemi","22.06.1993 12.00.00 +02:00","Vandløb",3,661571,6070255,"Oxygenmætning"," =",119,"pct",2
"TYSTRUP SØ, kemi","10.02.2022 12.00.00 +01:00","Vandløb",8,663915.9998617338,6137795.00371484,"Oxygenmætning","",99.7,"pct",2
"NORS SØ - vandkemi","30.06.2022 12.00.00 +02:00","Vandløb",17.03,476200.98624243616,6320964.953877215,"Oxygen indhold","",5.3516,"mg/l",2
"MARIBO SØNDERSØ, kemi","01.07.2002 12.00.00 +02:00","Vandløb",4,661571,6070255,"Oxygenmætning"," =",66,"pct",2
"Furesø-1643","10.01.1974 12.00.00 +01:00","Vandløb",0.1,715810,6187605,"Oxygenmætning"," =",93,"pct",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","12.02.2020 12.00.00 +01:00","Vandløb",25,552519,6218243,"Oxygenmætning"," =",93.8,"pct",2
"Fårup Sø - vandkemi","08.09.1993 12.00.00 +02:00","Vandløb",0.1,525369,6176393,"Oxygen indhold"," =",9.5,"mg/l",2
"SØBY SØ, MIDTJYLLAND, Vandkemi","29.09.1999 12.00.00 +02:00","Vandløb",5.51,504515,6211704,"Oxygenmætning"," =",99,"pct",2
"Arreskov Sø /004","07.07.1989 12.00.00 +02:00","Vandløb",1.5,583299,6113387,"Oxygenmætning"," =",85,"pct",2
"RINGBÆK SØ DYBESTE STED","23.09.1986 12.00.00 +02:00","Vandløb",0.1,714322,6168471,"Oxygenmætning"," =",74,"pct",2
"BONDEDAM","20.04.2006 12.00.00 +02:00","Vandløb",2.5,720808,6218625,"Oxygen indhold"," =",11.7,"mg/l",2
"Hostrup Sø - vandkemi","01.06.1995 12.00.00 +02:00","Vandløb",2,527763,6090708,"Oxygenmætning"," =",78,"pct",2
"JULSØ - JUL1 - vandkemi","10.07.2018 12.00.00 +02:00","Vandløb",14.56,542593,6219335,"Oxygen indhold"," =",0,"mg/l",3
"Sortesø /001, Fyn","05.09.2001 12.00.00 +02:00","Vandløb",0.2,583515,6108993,"Oxygen indhold"," =",5.6,"mg/l",2
"Vedsted Sø - vandkemi","17.04.1996 12.00.00 +02:00","Vandløb",1,523233,6116144,"Oxygen indhold"," =",11.4,"mg/l",2
"Dallund Sø /001","02.06.1998 12.00.00 +02:00","Vandløb",1.5,580869,6149324,"Oxygenmætning"," =",68,"pct",2
"Råstofsø NØ for Rødekro (G36) - vandkemi","10.06.2021 12.00.00 +02:00","Vandløb",7.49,523624.9999800728,6104547.003759449,"Oxygenmætning"," =",0.9,"pct",2
"TYSTRUP SØ, kemi","02.07.2003 12.00.00 +02:00","Vandløb",11.22,663916,6137795,"Oxygen indhold"," =",6.71,"mg/l",2
"VIBORG NØRRESØ, Vandkemi","09.11.1995 12.00.00 +01:00","Vandløb",2,526649,6257983,"Oxygen indhold"," =",9.8,"mg/l",2
"GLENSTRUP SØ - vandkemi","07.11.2012 12.00.00 +01:00","Vandløb",24,552405,6272687,"Oxygenmætning"," =",91,"pct",2
