"StedID","Stedtekst","Medie","Vandområde","Dato","Prøvetype","Målested, x-koordinat","Målested, y-koordinat","Dybde (m)","Faktiske dybder (m)","Analysefraktion","Stofparameter","Resultat-attribut","Resultat","Enhed","Detektionsgrænse LD","Kvantifikationsgrænse LQ","Kvalitetsmærke"
96510005,"0018361","Marin","Nakkebølle Fjord","06.08.2013 12.00.00 +02:00","Enkeltprøve",587718.9782344899,6102617.596357369,0.5,"0,5","Total","Oxygen indhold"," =",6.5,"mg/l",9999999,NA,3
97200002,"720 Øresund, nord, åbne del","Marin","Øresund","11.06.2007 12.00.00 +02:00","Enkeltprøve",734654.1527519011,6196983.708884917,20,"20","Total","pH"," =",8.09,"pH",9999999,NA,2
97230001,"723 Nivå Bugt","Marin","Nivå Bugt","10.07.1991 12.00.00 +02:00","Enkeltprøve",722468.7093015279,6204669.722597735,6,"6","Ej oplyst","Silicium"," =",200,"µg/l",9999999,NA,2
93710010,"Hals Havn","Marin","Mou","14.12.2009 12.00.00 +01:00","Enkeltprøve",579658.0184086089,6316771.704384287,0.2,"0,2","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",30,"µg/l",9999999,NA,3
96420001,"NV for Kåreholm","Marin","Nakskov Fjord","18.12.2018 12.00.00 +01:00","Enkeltprøve",631130.9803904507,6077153.233152187,1,"1","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",29,"µg/l",9999999,NA,3
94230001,"ODF17","Marin","Odense Fjord, ydre del","05.04.1990 12.00.00 +02:00","Enkeltprøve",596013.3376373918,6149163.600448473,2,"2","Ej oplyst","Primær produktion assimilieret Carbon, potentielt"," =",28.59,"mg/(m3*h)",9999999,NA,1
97200002,"720 Øresund, nord, åbne del","Marin","Øresund","13.10.2000 12.00.00 +02:00","Enkeltprøve",734621.8290305485,6197599.183219807,49.8,"49,8","Total","Nitrogen,total N"," =",274,"µg/l",9999999,NA,2
93000001,"300 Kattegat, åbne del","Marin","Kattegat, åbne del","14.03.2006 12.00.00 +01:00","Enkeltprøve",634020.2800729885,6222698.424901591,7.5,"7,5","Total","Nitrogen,total N"," =",241,"µg/l",9999999,NA,1
96100015,"6700053","Marin","Storebælt, Øst","06.09.2005 12.00.00 +02:00","Enkeltprøve",617597.4847568087,6152867.23567505,5,"5","Partikelbundet - fra filteret","Chlorophyl A"," =",1.76,"µg/l",9999999,NA,2
91410003,"Nymindegab-Blåvand, kyst","Marin","Nymindegab-Blåvand","08.07.1996 12.00.00 +02:00","Enkeltprøve",446310.5454107054,6170851.44125458,1,"1","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N","<",10,"µg/l",9999999,NA,2
96140001,"vmpr 44011","Marin","Korsør Nor","12.01.1995 12.00.00 +01:00","Enkeltprøve",638263.7564882456,6134605.783729479,2.5,"2,5","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",71,"µg/l",9999999,NA,2
94330002,"Husodde","Marin","Husodde","20.11.2001 12.00.00 +01:00","Enkeltprøve",556815.7198510767,6189850.286669851,3,"3","Ej oplyst","Ammonium-N"," =",86,"µg/l",9999999,NA,2
97200002,"720 Øresund, nord, åbne del","Marin","Øresund","29.09.1986 12.00.00 +01:00","Enkeltprøve",734621.8290305485,6197599.183219807,0,"0","Total","Ortho-phosphat-P"," =",15,"µg/l",9999999,NA,2
93000001,"300 Kattegat, åbne del","Marin","Kattegat, åbne del","07.03.2000 12.00.00 +01:00","Enkeltprøve",634019.1216664867,6222735.477754074,15,"15","Opløst - filtrat fra filtrering","Nitrit-N"," =",4,"µg/l",9999999,NA,2
91320009,"Anduvning Hvide Sande","Marin","Ringkøbing Fjord, midt","29.09.1981 12.00.00 +01:00","Enkeltprøve",447311.1572271991,6205622.4671884375,0.2,"0,2","Total","Nitrogen,total N"," =",2100,"µg/l",9999999,NA,2
94510019,"ARH1600031","Marin","Ebeltoft Vig","12.03.2008 12.00.00 +01:00","Enkeltprøve",599418.5111162764,6230522.854948173,12.6,"12,6","Opløst - filtrat fra filtrering","Ortho-phosphat-P","<",1,"µg/l",9999999,NA,3
98220018,"NW for Gedser","Marin","Lambo farvand","06.06.2011 12.00.00 +02:00","Enkeltprøve",685166.4804197247,6055036.884688007,1,"1","Opløst - filtrat fra filtrering","Silicium"," =",130,"µg/l",9999999,NA,3
93210005,"321 Isefjord Yderbredning","Marin","Isefjord Yderbredning","23.01.2006 12.00.00 +01:00","Enkeltprøve",674904.7354156947,6194717.02850681,8.6,"8,6","Total","Nitrogen,total N"," =",264,"µg/l",9999999,NA,1
91320001,"Ringkøbing Fjord","Marin","Ringkøbing Fjord, nord","12.02.1997 12.00.00 +01:00","Blandingsprøve",451763.5168010944,6215087.194329004,0.8166666666666668,"0,2; 0,45; 1,8","Total","Chlorid"," =",4850,"mg/l",9999999,NA,2
94230020,"6910008","Marin","Seden Strand","05.07.1993 12.00.00 +02:00","Enkeltprøve",593486.9484206162,6146066.175389178,0.04,"0,04","Ej oplyst","Primær produktion, 24 timers maximum"," =",327.82,"mg/(m2*d)",9999999,NA,1
99200001,"Darss Tærsklen","Marin","Østersøen, Falster-Møn, Øst","25.10.2001 12.00.00 +02:00","Enkeltprøve",713682.5860066079,6087914.610579935,21.8,"21,8","Partikelbundet - fra filteret","Chlorophyl A"," =",5.5,"µg/l",9999999,NA,2
97210004,"721 Amager/Svanemøllebugten","Marin","Amager/Svanemøllebugten","17.06.1996 12.00.00 +02:00","Blandingsprøve",731950.501495287,6178904.536403374,1,"1","Total","Phosphor, total-P"," =",13,"µg/l",9999999,NA,2
97120001,"712 Køge Bugt","Marin","Køge Bugt, Nord","22.08.1996 12.00.00 +02:00","Blandingsprøve",720134.1428876049,6164725.244991751,3,"5; 3; 1","Total","Ammoniak+ammonium-N"," =",4,"µg/l",9999999,NA,2
95440001,"Haderslev Fjord","Marin","Haderslev Fjord","05.10.1995 12.00.00 +01:00","Enkeltprøve",540381.6681852757,6126969.082780048,5.5,"5,5","Total","Phosphor, total-P"," =",68,"µg/l",9999999,NA,2
93530074,"Uggelhuse","Marin","Randers Fjord, midter del","05.11.2024 12.00.00 +01:00","Enkeltprøve",574559.8029871042,6259461.560095031,6.6,"6,6","Total","Nitrogen,total N"," =",440,"µg/l",14,NA,2
91500008,"Blåvand-Landegrænse, åbne del","Marin","Nordsøen, Blåvand-Landegrænsen","11.02.1991 12.00.00 +01:00","Blandingsprøve",453439.1110271667,6128253.995568437,0,"0","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",33,"µg/l",9999999,NA,2
94120003,"412 Sejerø Bugt, syd","Marin","Sejerø Bugt, Syd","29.05.2006 12.00.00 +02:00","Enkeltprøve",635641.9316849421,6188482.382021121,1,"1","Opløst - filtrat fra filtrering","Nitrit-N","<",1,"µg/l",9999999,NA,1
96100015,"6700053","Marin","Storebælt, Øst","28.04.2009 12.00.00 +02:00","Enkeltprøve",617627.686198591,6152879.179756668,32.6,"32,6","Total","Oxygenmætning"," =",75.4,"pct",9999999,NA,3
93610032,"Dybet","Marin","Mariager Fjord, midter del","14.04.1980 12.00.00 +02:00","Enkeltprøve",559681.1976926005,6280260.280961748,14,"14","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",920,"µg/l",9999999,NA,2
94330002,"Husodde","Marin","Husodde","17.02.1999 12.00.00 +01:00","Enkeltprøve",556836.079839055,6189887.730676935,3,"3","Ej oplyst","Nitrogen,total N"," =",1000,"µg/l",9999999,NA,2
95820001,"Åbenrå fjord","Marin","Åbenrå Fjord","23.02.2000 12.00.00 +01:00","Enkeltprøve",530041.6609270524,6098379.107536467,1,"1","Total","Oxygen indhold"," =",11,"mg/l",9999999,NA,2
93770031,"Nissum Bredning, Midt","Marin","Nissum Bredning, Midt","30.11.1982 12.00.00 +01:00","Enkeltprøve",464072.8785980338,6273107.110827043,0.2,"0,2","Opløst - filtrat fra filtrering","Nitrit+nitrat-N"," =",320,"µg/l",9999999,NA,2
99000049,"910 Bornholm, åbne del","Marin","Østersøen, åbne del","30.10.2002 12.00.00 +01:00","Enkeltprøve",943545.1619785636,6144866.5376737,40,"40","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",12,"µg/l",9999999,NA,2
94230241,"6920051","Marin","Odense Kanal","23.04.1979 12.00.00 +01:00","Enkeltprøve",589188.8003713181,6143941.6446179515,8,"8","Ej oplyst","Ammoniak+ammonium-N"," =",289,"µg/l",9999999,NA,2
93610032,"Dybet","Marin","Mariager Fjord, midter del","05.10.2021 12.00.00 +02:00","Enkeltprøve",559681.1976398923,6280260.284673923,25,"25","Opløst - filtrat fra filtrering","Ortho-phosphat-P"," =",370,"µg/l",1,NA,2
95410006,"0018172","Marin","Aborg Minde","12.05.2025 12.00.00 +02:00","Enkeltprøve",556641.9049110351,6130374.935534776,0.2,"0,2","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N","<",3,"µg/l",3,NA,2
94320001,"Juelsminde Kyst","Marin","Nordlige Bælthav, Fyn, Nord","08.02.2006 12.00.00 +01:00","Enkeltprøve",567920.1468822114,6183104.945259946,5,"5","Ej oplyst","Phosphor, total-P"," =",28,"µg/l",9999999,NA,1
92200001,"Hirtshals 15 m","Marin","Skagerrak, Jammerbugten","16.07.2007 12.00.00 +02:00","Enkeltprøve",554693.855531772,6385419.266756418,14,"14","Opløst - filtrat fra filtrering","Ammoniak+ammonium-N"," =",6.7,"µg/l",9999999,NA,3
93720007,"Ålborg Havneområde","Marin","Aalborg Havn","05.10.2000 12.00.00 +02:00","Enkeltprøve",557245.2441426669,6323532.883182937,1,"1","Total","Ammoniak+ammonium-N"," =",80,"µg/l",9999999,NA,2
93500005,"Ud for Randers Fjord","Marin","Kattegat, Hevring Bugt","29.07.2003 12.00.00 +02:00","Enkeltprøve",588590.8430755982,6274906.050729174,8,"8","Ej oplyst","Chlorophyl (ukorrigeret)"," =",0.75,"µg/l",9999999,NA,2
98100009,"7301703","Marin","Sydlige Bælthav, Vest","11.08.2011 12.00.00 +02:00","Enkeltprøve",598086.4791103227,6068417.981722551,28.3,"28,3","Total","Nitrogen,total N","",240.7499076,"µg/l",9999999,NA,3
93100008,"DMU station 921","Marin","Hesselø Bugt, Vest, åbne del","17.10.2018 12.00.00 +02:00","Enkeltprøve",708865.4435542913,6237158.095308958,5,"5","Partikelbundet - fra filteret","Chlorophyl (ukorrigeret)"," =",2.35,"µg/l",9999999,NA,3
95240002,"0018112","Marin","Gamborg Fjord","04.05.2005 12.00.00 +02:00","Enkeltprøve",548254.1384277863,6146120.310171894,20,"20","Total","Phosphor, total-P"," =",12,"µg/l",9999999,NA,2
96110002,"611 Kalundborg Fjord","Marin","Kalundborg fjord","14.12.1992 12.00.00 +01:00","Enkeltprøve",621924.034888097,6175398.9148462545,16,"16","Opløst - filtrat fra filtrering","Silicium"," =",490,"µg/l",9999999,NA,2
