"Stedtekst","Dato","Medie","Dybde","Målested, x-koordinat","Målested, y-koordinat","Parameter","Resultat-attribut","Resultat","Enhed","Kvalitetsmærke"
"RAVNSØ, MIDT -- RAV1 - vandkemi","29.10.2008 12.00.00 +01:00","Marin",26,552519,6218243,"Oxygenmætning"," =",1,"pct",2
"Arreskov Sø /004","26.04.2004 12.00.00 +02:00","Marin",0.2,583299,6113387,"Oxygen indhold"," =",9.5,"mg/l",2
"HULEMOSE SØ,VORDINGBORG","26.06.2000 12.00.00 +02:00","Marin",0.5,690162,6099336,"Oxygen indhold"," =",5.3,"mg/l",2
"BRYRUP LANGSØ,  BRY 1","13.06.1995 12.00.00 +02:00","Marin",1.1,532693,6208262,"Oxygenmætning"," =",112,"pct",2
"SØHOLM SØ /001","06.10.2005 12.00.00 +02:00","Marin",0.5,571863,6125861,"Oxygenmætning"," =",81,"pct",2
"GØDSTRUP SØ, Vandkemi","08.08.1989 12.00.00 +02:00","Marin",0.2,494267,6223446,"Oxygenmætning"," =",109,"pct",2
"UTTERSLEV MOSE, VESTLIG BASSIN","18.12.2019 12.00.00 +01:00","Marin",0.2,719438.9998064459,6179850.003863373,"Oxygen indhold","",11.39,"mg/l",1
"KULSØ, NØRRE SNEDE, Vandkemi","16.11.2011 12.00.00 +01:00","Marin",2.22,520106,6198657,"Oxygen indhold"," =",11.2,"mg/l",2
"HERNINGSHOLM SØ, Vandkemi","06.06.2023 12.00.00 +02:00","Marin",3.53,500460.9356905042,6223141.70387854,"Oxygenmætning","",65.7199,"pct",2
"STORE KATTINGE SØ, kemi","30.09.1999 12.00.00 +02:00","Marin",1,689552,6172212,"Oxygen indhold"," =",8.2,"mg/l",2
"Gråsten Slotssø - vandkemi","09.12.2004 12.00.00 +01:00","Marin",4.98,537772,6086237,"Oxygenmætning"," =",81.5,"pct",2
"Arreskov Sø /004","17.05.1990 12.00.00 +02:00","Marin",1,583299,6113387,"Oxygenmætning"," =",103,"pct",2
"JULSØ - JUL1 - vandkemi","28.09.2010 12.00.00 +02:00","Marin",2.99,542593,6219335,"Oxygenmætning"," =",78.4,"pct",2
"FURESØ, kemi","28.10.1993 12.00.00 +01:00","Marin",26.04,714084,6189179,"Oxygenmætning"," =",69.3,"pct",2
"ARRESØ, kemi","13.05.1997 12.00.00 +02:00","Marin",3,693898,6209574,"Oxygen indhold"," =",13.6,"mg/l",2
"SØGÅRD SØ (SYD, v. Vamdrup) - vandkemi","27.09.1999 12.00.00 +02:00","Marin",2.28,520785,6142631,"Oxygenmætning"," =",81.5,"pct",2
"Furesø-3007","24.08.2005 12.00.00 +02:00","Marin",30,713292,6189209,"Oxygenmætning"," =",76,"pct",2
"Keldsnor /001, vandkemi, sediment","07.06.2012 12.00.00 +02:00","Marin",1,609890,6065908,"Oxygenmætning"," =",99,"pct",2
"SØHOLM SØ /001","25.09.2000 12.00.00 +02:00","Marin",7,571863,6125861,"Oxygen indhold"," =",10.3,"mg/l",2
"HALD SØ ST.3","03.09.1991 12.00.00 +02:00","Marin",2.2,521059,6249273,"Oxygen indhold"," =",8.2,"mg/l",2
"FIBO SØ, Vandkemi","25.08.2009 12.00.00 +02:00","Marin",6.91,474476,6211161,"Oxygen indhold"," =",2.2,"mg/l",1
"ØRNSØ  - vandkemi","13.03.2003 12.00.00 +01:00","Marin",5,532481,6223358,"Oxygen indhold"," =",11,"mg/l",2
"NAVN SØ - vandkemi","25.05.2016 12.00.00 +02:00","Marin",5.5,527291,6304213,"Oxygenmætning"," =",50,"pct",3
"Dons Nørresø - vandkemi","24.09.2009 12.00.00 +02:00","Marin",1,526783,6156900,"Oxygenmætning"," =",89.3,"pct",2
"SØBY SØ, MIDTJYLLAND, Vandkemi","11.04.2023 12.00.00 +02:00","Marin",4.02,504515.04210916,6211701.940087599,"Oxygenmætning","",103.3593,"pct",2
"TRYGGELEV NOR VEST MC ST 2","21.09.2006 12.00.00 +02:00","Marin",0.7,606770,6073340,"Oxygen indhold"," =",8.3,"mg/l",2
"VESTERBORG SØ, kemi","04.10.2021 12.00.00 +02:00","Marin",1,645923.9998768431,6082133.003789237,"Oxygenmætning","",87.5,"pct",2
"SØRUP SØ, Fyn /001","18.06.1998 12.00.00 +02:00","Marin",3,599779,6104178,"Oxygen indhold"," =",11.2,"mg/l",2
"FURESØ, kemi","14.11.2017 12.00.00 +01:00","Marin",2,714084,6189179,"Oxygen indhold"," =",10,"mg/l",3
"RAVNSØ, MIDT -- RAV1 - vandkemi","09.07.2003 12.00.00 +02:00","Marin",7,552519,6218243,"Oxygenmætning"," =",87,"pct",2
"RAJEMOSEN AMT ST","16.07.2009 12.00.00 +02:00","Marin",0.75,652947,6166944,"Oxygen indhold"," =",8.7,"mg/l",2
"NORS SØ - vandkemi","15.08.2002 12.00.00 +02:00","Marin",8,476319,6320842,"Oxygen indhold"," =",8.8,"mg/l",2
"FURESØ, kemi","22.04.2014 12.00.00 +02:00","Marin",20,714084,6189179,"Oxygen indhold"," =",13.6,"mg/l",2
"SØBO SØ, vandkemi","16.08.1993 12.00.00 +02:00","Marin",3,576888,6118630,"Oxygen indhold"," =",9.8,"mg/l",2
"STADIL FJORD, Vandkemi","29.03.2005 12.00.00 +02:00","Marin",2.25,451285,6224313,"Oxygen indhold"," =",12.3,"mg/l",2
"FUGLESØ-FREDERIKSBORG AMTS ST.","20.09.2022 12.00.00 +02:00","Marin",1,702077.9998291912,6184754.003644044,"Oxygenmætning","",76,"pct",2
"TRYGGELEV NOR VEST MC ST 2","25.03.2004 12.00.00 +01:00","Marin",2.8,606770,6073340,"Oxygenmætning"," =",101,"pct",2
"FUSSING SØ MIDT ","18.08.2021 12.00.00 +02:00","Marin",17.06,553786.9999549,6258768.003547718,"Oxygenmætning"," =",0,"pct",2
"EJSTRUP SØ, Vandkemi","10.08.1999 12.00.00 +02:00","Marin",1.25,517246,6205491,"Oxygenmætning"," =",118.6,"pct",2
"GRANE LANGSØ, MIDT","17.05.2016 12.00.00 +02:00","Marin",10.05,528200,6208143,"Oxygenmætning"," =",57.2,"pct",3
"BASTRUP SØ, kemi","31.05.1989 12.00.00 +02:00","Marin",4,704828,6190664,"Oxygen indhold"," =",8.1,"mg/l",2
"SØLLERØD SØ, kemi","02.07.2014 12.00.00 +02:00","Marin",7,718410,6190956,"Oxygenmætning"," =",1.4,"pct",1
"ØRNSØ  - vandkemi","11.08.2011 12.00.00 +02:00","Marin",4,532481,6223358,"Oxygen indhold"," =",4.6,"mg/l",2
"SNABE IGELSØ, MIDT","08.09.1998 12.00.00 +02:00","Marin",3,529369,6209993,"Oxygen indhold"," =",10.2,"mg/l",2
"BAGSVÆRD SØ, kemi","25.04.1995 12.00.00 +02:00","Marin",2,717383,6185871,"Oxygenmætning"," =",116.8,"pct",2
"SØ VED FRUENS VÆNGE MC/001","23.06.1998 12.00.00 +02:00","Marin",0.2,622643,6102839,"Oxygenmætning"," =",70,"pct",2
"SILKEBORG LANGSØ,VESTB - SIL4","01.07.1992 12.00.00 +02:00","Marin",0.2,532164,6224755,"Oxygenmætning"," =",137,"pct",2
"Skanderborg Sø - vandkemi","05.07.2001 12.00.00 +02:00","Marin",0.5,557952,6207834,"Oxygen indhold"," =",14.8,"mg/l",2
"MOSSØ, -- MOS2","20.10.1992 12.00.00 +01:00","Marin",0.2,545284,6210643,"Oxygen indhold"," =",10.9,"mg/l",2
"DALLERUP SØ  - vandkemi","15.09.2011 12.00.00 +02:00","Marin",2,552914,6185555,"Oxygenmætning"," =",86,"pct",2
"Langesø /002","05.09.1994 12.00.00 +02:00","Marin",2.5,575712,6143790,"Oxygen indhold"," =",7.7,"mg/l",2
"Hostrup Sø - vandkemi","02.08.2000 12.00.00 +02:00","Marin",0.22,527763,6090708,"Oxygenmætning"," =",100,"pct",2
"Vedsted Sø - vandkemi","18.07.2012 12.00.00 +02:00","Marin",7.5,523233,6116144,"Oxygen indhold"," =",0.82,"mg/l",2
"Nørresø, Fyn /001, vandkemi, sediment","28.11.1991 12.00.00 +01:00","Marin",2.5,587917,6112007,"Oxygenmætning"," =",89,"pct",2
"Engelsholm Sø - vandkemi","06.06.2007 12.00.00 +02:00","Marin",0.27,520069,6174893,"Oxygenmætning"," =",118.7,"pct",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","31.05.2006 12.00.00 +02:00","Marin",5,552519,6218243,"Oxygen indhold"," =",11.7,"mg/l",2
"STENGÅRD SØ HOVED ST","12.11.2012 12.00.00 +01:00","Marin",3.01,652365,6058806,"Oxygen indhold"," =",12,"mg/l",2
"FURESØ, kemi","06.06.2001 12.00.00 +02:00","Marin",10,714084,6189179,"Oxygenmætning"," =",99,"pct",2
"Sjapmose - vandkemi","17.08.2011 12.00.00 +02:00","Marin",0.5,494343,6127109,"Oxygen indhold"," =",11.26,"mg/l",2
"KLOSTERENG LERGRAV NORD - vandkemi","27.06.2017 12.00.00 +02:00","Marin",4,552329,6322816,"Oxygenmætning"," =",87.9,"pct",3
"FLYNDERSØ, NORDLIGE DEL, Vandkemi","11.05.2009 12.00.00 +02:00","Marin",6,496149,6263973,"Oxygen indhold"," =",9.54,"mg/l",2
"BENTHES SØ,MERN","23.08.1990 12.00.00 +02:00","Marin",0.2,691250,6106909,"Oxygenmætning"," =",76,"pct",2
"SILKEBORG LANGSØ,VESTB - SIL4","13.05.1992 12.00.00 +02:00","Marin",0.2,532164,6224755,"Oxygen indhold"," =",11.1,"mg/l",2
"TANGE SØ, Vandkemi GAMMEL","09.11.2010 12.00.00 +01:00","Marin",3.26,536479,6241513,"Oxygen indhold"," =",11.3,"mg/l",2
"SØBY SØ, MIDTJYLLAND, Vandkemi","07.10.2008 12.00.00 +02:00","Marin",3.03,504515,6211704,"Oxygenmætning"," =",93,"pct",2
"ST.GRIB SØ","15.07.2003 12.00.00 +02:00","Marin",3,706078,6209294,"Oxygenmætning"," =",34,"pct",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","06.09.2018 12.00.00 +02:00","Marin",11.5,552519,6218243,"Oxygenmætning"," =",22.7,"pct",3
"BRASSØ, BRA 1","11.03.1992 12.00.00 +01:00","Marin",2,536232,6221992,"Oxygenmætning"," =",125,"pct",2
"BRYRUP LANGSØ,  BRY 1","08.04.2010 12.00.00 +02:00","Marin",2.02,532693,6208262,"Oxygenmætning"," =",122.6,"pct",2
"BASTRUP SØ, kemi","14.08.1997 12.00.00 +02:00","Marin",4,704828,6190664,"Oxygenmætning"," =",1,"pct",2
"Jels Midtsø - vandkemi","17.05.2004 12.00.00 +02:00","Marin",4,514794,6136906,"Oxygenmætning"," =",72.1,"pct",2
"VANDET SØ - vandkemi","21.05.1985 12.00.00 +02:00","Marin",9,473039,6319052,"Oxygen indhold"," =",11.3,"mg/l",2
"Engelsholm Sø - vandkemi","29.09.2010 12.00.00 +02:00","Marin",4,520069,6174893,"Oxygen indhold"," =",8.6,"mg/l",2
"KLEJTRUP SØ - vandkemi","14.06.1995 12.00.00 +02:00","Marin",0.2,539809,6272673,"Oxygen indhold"," =",17,"mg/l",2
"Kastelgraven","31.10.2012 12.00.00 +01:00","Marin",3.75,726113,6177661,"Oxygen indhold"," =",0.06,"mg/l",1
"VROLD SØ","13.05.2009 12.00.00 +02:00","Marin",0.25,555226,6208189,"Oxygenmætning"," =",87.4,"pct",2
"GRUSGRAVSSØ 1","07.09.1992 12.00.00 +02:00","Marin",4,598126,6133118,"Oxygen indhold"," =",0,"mg/l",2
"RØGBØLLE SØ, SYDB, kemi","31.05.1994 12.00.00 +02:00","Marin",2,666003,6065651,"Oxygenmætning"," =",97,"pct",2
"STUDENTERSØ, AMT ST","22.07.2003 12.00.00 +02:00","Marin",0.9,650826,6141695,"Oxygen indhold"," =",6.6,"mg/l",2
"RØGBØLLE SØ, SYDB, kemi","15.07.1997 12.00.00 +02:00","Marin",1,666003,6065651,"Oxygenmætning"," =",99,"pct",2
"VELLING IGELSØ, midt - vandkemi","23.06.1988 12.00.00 +02:00","Marin",8,532507,6211090,"Oxygenmætning"," =",63,"pct",2
"TORP SØ","17.05.2011 12.00.00 +02:00","Marin",0.2,545640,6200822,"Oxygen indhold"," =",6.6,"mg/l",2
"RAVNSØ, MIDT -- RAV1 - vandkemi","09.08.2006 12.00.00 +02:00","Marin",14,552519,6218243,"Oxygen indhold"," =",5.3,"mg/l",2
"Stilling Solbjerg Sø, SYD FOR KOLLEN","12.11.2009 12.00.00 +01:00","Marin",3,565236,6213113,"Oxygen indhold"," =",10.7,"mg/l",2
"FURESØ, kemi","08.06.2000 12.00.00 +02:00","Marin",4,714084,6189179,"Oxygenmætning"," =",94,"pct",2
"TORUP SØ - vandkemi","11.05.2005 12.00.00 +02:00","Marin",5.75,526958,6208210,"Oxygenmætning"," =",0,"pct",2
