"Stedtekst","Dato","Medie","Dybde","Målested, x-koordinat","Målested, y-koordinat","Parameter","Resultat-attribut","Resultat","Enhed","Kvalitetsmærke"
"SØBYLEJET 17, HJERTESØEN, Vandkemi","15.05.2023 12.00.00 +02:00","Sø",2,505259.99999091896,6211592.007427675,"Oxygen indhold","",12.9672,"mg/l",2
"VOERBJERG LERGRAV - vandkemi","15.09.2011 12.00.00 +02:00","Sø",4,554305,6328226,"Oxygenmætning"," =",69.3,"pct",2
"AVNSØ  AVN 1","25.08.1993 12.00.00 +02:00","Sø",2,535619,6222193,"Oxygen indhold"," =",8.7,"mg/l",2
"SJØRUP SØ - vandkemi","31.05.2001 12.00.00 +02:00","Sø",15,524225,6302796,"Oxygen indhold"," =",0.1,"mg/l",2
"ØRNSØ  - vandkemi","30.05.2000 12.00.00 +02:00","Sø",10,532481,6223358,"Oxygenmætning"," =",100,"pct",2
"ØRNSØ  - vandkemi","15.02.1990 12.00.00 +01:00","Sø",2,532481,6223358,"Oxygen indhold"," =",10.6,"mg/l",2
"Ulstrup Langsø - vandkemi","24.04.1991 12.00.00 +02:00","Sø",2,599932,6236803,"Oxygen indhold"," =",12.7,"mg/l",2
"ABORRE SØ, kemi","03.06.2015 12.00.00 +02:00","Sø",1.02,725683,6098241,"Oxygenmætning"," =",106.78,"pct",1
"Hostrup Sø - vandkemi","10.06.1988 12.00.00 +02:00","Sø",1.5,527763,6090708,"Oxygen indhold"," =",9.8,"mg/l",2
"HAMPEN SØ, Vandkemi","09.08.2018 12.00.00 +02:00","Sø",9.5,524669,6208043,"Oxygenmætning"," =",0,"pct",3
"Ålevande Sø Kollerup, østbassin - vandkemi","21.09.2017 12.00.00 +02:00","Sø",4,515851,6333030,"Oxygenmætning"," =",81.5,"pct",3
"SJÆLSØ","11.08.1999 12.00.00 +02:00","Sø",3,715252,6196623,"Oxygen indhold"," =",8.2,"mg/l",2
"MOSSØ - vandkemi","07.06.2023 12.00.00 +02:00","Sø",10.54,549550.03193372,6210472.056630528,"Oxygenmætning","",79.331,"pct",2
"SØBY SØ, MIDTJYLLAND, Vandkemi","04.07.2017 12.00.00 +02:00","Sø",3,504515,6211704,"Oxygenmætning"," =",101.7,"pct",3
"Skanderborg Sø - vandkemi","18.09.1990 12.00.00 +02:00","Sø",14,557952,6207834,"Oxygenmætning"," =",80,"pct",2
"SALTEN LANGSØ , MIDT --SAL2","18.05.2010 12.00.00 +02:00","Sø",9.98,539846,6213393,"Oxygen indhold"," =",11.3,"mg/l",2
"KNUD SØ, ØST - Kemistation","28.09.2010 12.00.00 +02:00","Sø",25.06,547982,6217718,"Oxygenmætning"," =",0,"pct",2
"Dallund Sø /001","31.05.2022 12.00.00 +02:00","Sø",1.96,580869.0265703369,6149324.0594154075,"Oxygenmætning","",65.3921,"pct",2
"HALD SØ, Vandkemi","26.05.2015 12.00.00 +02:00","Sø",14,520999,6247723,"Oxygenmætning"," =",95.7,"pct",2
"NORS SØ - vandkemi","02.08.2016 12.00.00 +02:00","Sø",11,476319,6320842,"Oxygen indhold"," =",8.11,"mg/l",3
"Nørre Tvismark Sø - Vest - vandkemi","09.07.2013 12.00.00 +02:00","Sø",0.2,471479,6112090,"Oxygen indhold"," =",8.63,"mg/l",2
"SØBO SØ, vandkemi","04.08.1999 12.00.00 +02:00","Sø",4.5,576888,6118630,"Oxygenmætning"," =",3,"pct",2
"HALD SØ, Vandkemi","16.06.2008 12.00.00 +02:00","Sø",11.61,520999,6247723,"Oxygen indhold"," =",7.9,"mg/l",2
"BRYRUP LANGSØ,  BRY 1","07.08.2001 12.00.00 +02:00","Sø",7,532693,6208262,"Oxygenmætning","<",2,"pct",2
"SKÅN SØ, Vandkemi","11.07.1991 12.00.00 +02:00","Sø",0.2,489508,6262774,"Oxygenmætning"," =",92,"pct",2
"RAVNHOLT SØ, Vandkemi","23.06.2009 12.00.00 +02:00","Sø",0.2,515505,6220521,"Oxygen indhold"," =",9.1,"mg/l",2
"SØBO SØ, vandkemi","07.09.1998 12.00.00 +02:00","Sø",2.5,576888,6118630,"Oxygenmætning"," =",90,"pct",2
"BAGSVÆRD SØ, kemi","20.08.2003 12.00.00 +02:00","Sø",1,717383,6185871,"Oxygenmætning"," =",111,"pct",2
"Råstofsø NØ for Rødekro (G36) - vandkemi","20.09.2012 12.00.00 +02:00","Sø",0.2,523625,6104547,"Oxygenmætning"," =",84.6,"pct",2
"BRYRUP LANGSØ,  BRY 1","25.07.2006 12.00.00 +02:00","Sø",3,532693,6208262,"Oxygenmætning"," =",38,"pct",1
"LYNGBY SØ, MIDT I VESTBASSIN, kemi","17.11.1988 12.00.00 +01:00","Sø",1,718006,6186555,"Oxygen indhold"," =",11.1,"mg/l",2
